DIALOGUE_ID	THEME_ID	SEQUENCE_NUMBER	CHARACTER_ENGLISH	CHARACTER_FRENCH	CHARACTER_GERMAN	CHARACTER_DUTCH	CHARACTER_PERSIAN	FRENCH	PERSIAN	GERMAN	ENGLISH	DUTCH
2	3	14	Mina’s mother	Mère de Mina	Mina’s Mutter	Mina’s moeder	مادر مینا	Tu as de l’argent ?	تو پول داری؟	Hast du Geld ?	Do you have money ?	Deze kledingen kosten 550 000 Toman.
2	3	15	Mina	Mina	Mina	Mina	مینا	Oui.	بله	Ja.	Yes.	Ja.
2	3	16	seller	vendeur	Verkaüfer	verkoper	فروشنده	Merci. Au revoir.	تشکر خدا حفظ	Danke. Auf Wiedersehen.	Thank you. Goodbye.	Danku, tot ziens. 
2	3	17	Mina	Mina	Mina	Mina	مینا	Au revoir.	خدا حافظ	Auf Wiedersehen.	Goodbye.	Tot ziens.
1	2	1	Ali	Ali	Ali	Ali	علی	Bonjour, mon nom est Ali.	سلام، نام من علی است.	Hallo, mein Name ist Ali.	Hello, my name is Ali.	Hallo, mijn naam is Ali.
1	2	2	Mina	Mina	Mina	Mina	مینا	Bonjour, je suis Mina.	سلام، من مینا هستم.	Hallo, ich bin Mina.	Hello, I am Mina.	Hallo, ik ben Mina.
1	2	3	Ali	Ali	Ali	Ali	علی	Tu es aussi dans la classe de Persan?	شما هم در کلاس فارسی هستید؟	Bist du auch in dem Persisch Kurs?	Are you in the Persian class too? 	Ben jij ook in de Persisch klas? 
1	2	4	Mina	Mina	Mina	Mina	مینا	Oui, nous sommes camarades de classe.	بله، ما همسالان کلاس هستیم.	Ja, wir sind Klassenkameraden.	Yes, we are classmates.	Ja, wij zijn klassenkameraden. 
1	2	5	Ali	Ali	Ali	Ali	علی	Le cours de Persan est aujourd’hui? 	کلاس فارسی امروز است؟	Ist der Persisch Kurs heute? 	Is the Persian lesson today?	Is de Persisch les vandaag?
1	2	6	Mina	Mina	Mina	Mina	مینا	Oui, c’est au deuxième étage.	بله، دومین طبقه است.	Ja, es ist auf die zweite Stock.	Yes, it is on the second floor.	Ja, het is op de tweede verdieping.
1	2	7	Ali	Ali	Ali	Ali	علی	Merci beaucoup.	بسیار مرسی.	Vielen Dank.	Thanks a lot.	Heel erg bedankt.
1	2	8	Mina	Mina	Mina	Mina	مینا	De rien.	نه، هیچ چیزی.	Bitte.	My pleasure.	Graag gedaan.
3	1	1	Mina	Mina	Mina	Mina	مینا	Bonjour, je suis Mina. Je suis étudiante en économie. J’ai 22 ans. J’ai une soeur et un frère. Je vis chez mes parents à Tehran, mais j’étudie à Paris. Enchantée de vous connaître.	سلام، من مینا هستم. من دانشجوی اقتصاد هستم. 22 سالم هستم. همیشه خواهری و همیشه پدری هستم. در تهران با والدین من زندگی میکنم، اما در پاریز میخوانم. خدافظ.	Hallo, ich bin Mina. Ich bin Studentin in Wirtschaft. Ich bin 22 Jahren alt. Ich hab ein Brüder und einem Schwester. Ich lebe bei meinem Eltern in Tehran, aber ich studiere in Paris. Froh ihn kennen zu lernen.	Hello, I am Mina. I am an economy student. I am 22 years old. I have a sister and a brother. I am living with my parents in Tehran, but I am studying in Paris. Nice to meet you.	Hallo, ik ben Mina. Ik ben student in economie. Ik ben 22 jaar oud. Ik heb een zus en een broer. Ik leef bij mijn ouders in Tehran, maar ik studeer in Paris. Ik ben blij u te leren kennen.
4	4	1	Mother of Mina	Mère de Mina	Mütter von Mina	Mother of Mina	مادر مینا	Il faut que tu m’aides à cuisiner pour les invités de ce soir. 	شما باید به من کمک کنید تا برای مهمانان این شب آشپزی کنیم.	Du muss mich helfen mit kochen für die Gästen von heute Abend.	You have to help me cook for the guests of this evening.	Je moet mij helpen met koken voor de gasten van vanavond. 
4	4	2	Mina	Mina	Mina	Mina	مینا	Combien d’invités il y a ?	همچنان چند مهمانی داریم؟	Wie viele Gästen gibt es?	How many guests are there?	Hoe veel gasten zijn er ?
4	4	3	Mother of Mina	Mère de Mina	Mütter von Mina	Mother of Mina	مادر مینا	Nous avons 10 invités.	۱۰ مهمان داریم.	Wir haben 10 Gästen.	We have 10 guests.	We hebben 10 gasten.
4	4	4	Mina	Mina	Mina	Mina	مینا	Qu’est-ce que tu vas cuisiner ?	شما میخواهید چیزی بزارید؟	Was wirst du kochen?	What are you going to cook? 	Wat ga je koken ?
4	4	5	Mother of Mina	Mère de Mina	Mütter von Mina	Mother of Mina	مادر مینا	Je vais cuisiner du chelow kebab.	من چلو کباب میخواهم بزارم.	Ich mache chelow kebab.	I will make chelow kebab.	Ik ga chelow kebab maken.
4	4	6	Mina	Mina	Mina	Mina	مینا	Nous avons du riz. Je vais au supermarché pour le reste.	ما برنج داریم. من برای بقیه چیزها به فروشگاه میروم.	Wir haben Reis. Ich gehe zum Supermarkt für dem Rest.	We have rice. I am going to the supermarket for the rest.	We hebben reis. Ik ga naar de supermarkt voor de rest.
4	4	7	Mina	Mina	Mina	Mina	مینا	J’achète des oignons, de la viande de poulet et des tomates. Je veux aussi du safran et de la salade. J’achète aussi de la glace, les invités aiment bien.	من به فروشگاه میروم برای خرده پیاز، گوشت پرنده و طماطم. میخواهم همچنان زعفران و سالاد بخرم. همچنین میخواهم از بستنی خریداری کنم، مهمانان دوستشان دارند.	Ich kaufe Zwiebeln, Hünerfleisch und Tomaten. Ich will auch Safran und Salat. Ich kaufe auch Eis, die Gästen lieben das. 	I am buying oignons, chicken meat and tomatoes. I also want safran and salad. I am also buying ice cream, the guests like that. 	Ik koop uien, kippenvlees en tomaten. Ik wil ook safran en salade. Ik koop ook ijs, de gasten houden hiervan. 
4	4	8	Mother of Mina	Mère de Mina	Mütter von Mina	Mother of Mina	مادر مینا	Merci beaucoup! Mets la table. Les couteaux, fourchettes et cuillières sont là.	بسیار ممنون! میز را قرار دهید. قیچی، قیچی های شاخ و قیچی های خورده در اینجا هستند.	Vielen Dank! Setz dem Tisch. Die Messer, Gabel und Löffel sind da.	Thanks a lot! Make the table. The knives, forks and spoons are there.	Heel erg bedankt! Zet de tafel. De messen, vorken en lepels zijn daar.
