WORD_ID	THEME_ID	SUBTHEME	FRENCH	DUTCH	GERMAN	ENGLISH	PERSIAN	IMAGE_ID
97	2	Numbers	sept	zeven	sieben	seven	هفت	
98	2	Numbers	huit	acht	acht	eight	هشت	
99	2	Numbers	neuf	negen	neun	nine	نو	
100	2	Numbers	dix	tien	zehn	ten	دو	
101	2	Numbers	nombre	nummer	Nummer	number	شماره	
102	2	Verbs	avoir	hebben	haben	to have	داشتن	
103	2	Verbs	j’ai	ik heb	ich hab	I have	من می دانم	
104	2	Verbs	tu as	jij hebt	du hast	you have	تو می دانی	
105	2	Verbs	il/elle a 	hij/zij heeft	er/sie/er hat	he/she has	او می داند	
106	2	Verbs	nous avons	wij hebben	wir haben	we have	ما می دانیم	
107	2	Verbs	vous avez	jullie hebben	sie haben	you have	شما می دانید	
108	2	Verbs	ils/elles ont	zij hebben	ihr habt	they have	آنها می دانند	
109	2	Verbs	acheter	kopen	kaufen	to buy	خریدن	
110	2	Verbs	j’achète	ik koop	ich kaufe	I buy	من می خریدم	
111	2	Verbs	tu achètes	jij koopt	du kaufst	you buy	تو می خریدی	
112	2	Verbs	il/elle achète	hij/zij koopt	er/sie/er kauft	he/she buys	او می خرید	
113	2	Verbs	nous achetons	wij kopen	wir kaufen	we buy	ما می خریم	
114	2	Verbs	vous achetez	jullie kopen	sie kaufen	you buy	شما می خرید	
115	2	Verbs	ils/elles achètent	zij kopen	ihr kauft	they buy	آنها می خرند	
116	2	Objects	argent	geld	Geld	money	پول	money.jpeg
117	2	Others	oui	ja	ja	yes	بله	
118	2	Others	merci	danku	danke	thanks	تشکر	
119	2	Sayings	au revoir	tot ziens	auf Wiedersehen	goodbye	خدا حافظ	
120	2	Jobs	vendeur	verkoper	Verkaufer	seller	فروشنده	
121	1	Others	nom	naam	Name	name	اسم	
122	1	Others	aussi	ook	auch	also	هم	
123	1	Others	dans	in	in	in	در	
124	1	Places	université	universiteit	Universität	university	دانشگاه	
125	1	Places	classe	klas	Klasse	class	کلاس	class.jpeg
126	1	Langues	Persan	persisch	Persisch	persian	فارسی	
127	1	Jobs	camarade de classe	klassen kamaraad	Klassen Kamarad	class comrades	همکلاسی	
128	1	Time	aujourd’hui	vandaag	Heute	today	امروز	
129	1	Places	étage	verdieping	Stock	floor	طبقه	
130	1	Numbers	premier	eerste	erste	first	اول	
131	1	Numbers	deuxième	tweede	zweite	second	دوم	
132	1	Numbers	troisième	derde	dritte	third	سوم	
133	1	Numbers	quatrième	vierde	vierte	fourth	چهارم	
134	1	Numbers	cinquième	vijfde	fünfte	fifth	پنجم	
135	1	Numbers	sixième	zesde	sechste	sixth	ششم	
136	1	Numbers	septième	zevende	siebte	seventh	هفتم	
137	1	Numbers	huitième	achtste	achtste	eighth	هشتم	
138	1	Numbers	neuvième	negende	neunte	nineth	نهم	
139	1	Numbers	dixième	tiende	zehnte	tenth	دهم	
140	1	Others	merci beaucoup	hartelijk bedankt	vielen dank	thanks a lot	خیلی ممنونم	
141	1	Others	de rien	geen probleem	bitte	no problem	خواهش می کنم	
142	1	Time	hier	gisteren	Gestern	yesterday	دیروز	
143	1	Time	demain	morgen	Morgen	tomorrow	فردا	
144	1	Time	avant-hier	eergisteren	Vorgestern	day before yesterday	پریروز	
145	1	Time	Après-demain	overmorgen	Übermorgen	day after tomorrow	پسفردا	
146	1	Time	semaine	week	Woche	week	هفته	
147	1	Time	la semaine passée	vorige week	lätzte Woche	last week	هفته آیانده	
148	1	Time	la semaine prochaine	volgende week	nächste Woche	next week	هفته بعد	
149	1	Time	mois	maand	Monat	month	ماه	
150	1	Time	année	jaar	Jahr	year	سال	
151	3	Places	hôpital	ziekenhuis	Krankenhaus	hospital		
152	3	Others	comment	hoe	wie	how		
153	3	Jobs	médecin	arts	Arts	dokter		
154	3	Jobs	médecin	arts	Arts	dokter		
155	3	Adjectives	beaucoup	heel	viel	a lot		
156	3	Medical	douleur	pijn	Schmerz	pain		
157	3	Body	ventre	buik	Bauch	stomach		
158	3	Others	où	waar	wo	where		
159	3	Others	uniquement	enkel	nur	only		
160	3	Others	ou	of	oder	or		
161	3	Others	autre	anders	anders	other		
